environmentalist-n	reformer-n
scissors-n	tool-n
peptide-n	chemical-n
monastery-n	building-n
jurisprudence-n	discipline-n
beer-n	liquid-n
pilgrimage-n	journey-n
etching-n	art-n
kestrel-n	animal-n
traitor-n	criminal-n
desire-n	feeling-n
sack-n	bag-n
bookshop-n	shop-n
jacket-n	garment-n
church-n	organization-n
alpha-n	symbol-n
privateer-n	sailor-n
farmhouse-n	building-n
asylum-n	shelter-n
shortcut-n	road-n
champagne-n	wine-n
dinghy-n	boat-n
draft-n	document-n
vicar-n	leader-n
liquor-n	beverage-n
celery-n	herb-n
magpie-n	animal-n
cardinal-n	leader-n
columnist-n	journalist-n
clown-n	fool-n
spectrometer-n	instrument-n
monastery-n	dwelling-n
eleven-n	integer-n
milk-n	fluid-n
schoolmaster-n	educator-n
passion-n	feeling-n
hen-n	bird-n
terror-n	feeling-n
chimpanzee-n	vertebrate-n
premier-n	representative-n
librarian-n	adult-n
playlist-n	list-n
tank-n	vehicle-n
collagen-n	molecule-n
telephony-n	telecommunication-n
condominium-n	dwelling-n
thunderstorm-n	storm-n
president-n	leader-n
owl-n	vertebrate-n
arithmetic-n	discipline-n
firm-n	business-n
chick-n	vertebrate-n
hurricane-n	storm-n
aqueduct-n	conduit-n
cow-n	vertebrate-n
algebra-n	science-n
holly-n	tree-n
penguin-n	seabird-n
bureau-n	organization-n
tie-n	clothing-n
checklist-n	list-n
football-n	sport-n
swimmer-n	athlete-n
gas-n	phenomenon-n
strut-n	walk-n
pilot-n	worker-n
candy-n	food-n
mob-n	crowd-n
polarization-n	phenomenon-n
invitation-n	text-n
reelection-n	election-n
bassist-n	entertainer-n
graveyard-n	site-n
yoghurt-n	food-n
histogram-n	chart-n
hostess-n	host-n
psychotherapy-n	science-n
whisky-n	beverage-n
hall-n	passageway-n
cold-n	illness-n
spiral-n	curve-n
man-n	adult-n
supper-n	meal-n
reservist-n	serviceman-n
tench-n	fish-n
logic-n	discipline-n
kestrel-n	hawk-n
tench-n	animal-n
rucksack-n	bag-n
seawater-n	water-n
physiotherapist-n	therapist-n
surprise-n	feeling-n
kangaroo-n	mammal-n
logo-n	signal-n
department-n	organization-n
soprano-n	singer-n
netball-n	game-n
tuberculosis-n	disease-n
sundial-n	instrument-n
oyster-n	animal-n
geometry-n	science-n
eagle-n	bird-n
spasm-n	symptom-n
hose-n	commodity-n
freeware-n	software-n
chalet-n	building-n
archbishop-n	priest-n
excuse-n	explanation-n
melon-n	fruit-n
aphid-n	insect-n
nurse-n	adult-n
engineering-n	occupation-n
memorandum-n	note-n
psoriasis-n	illness-n
maid-n	servant-n
aspirin-n	drug-n
pirate-n	criminal-n
seaplane-n	vehicle-n
compass-n	instrument-n
condom-n	contraceptive-n
thermostat-n	regulator-n
hawk-n	animal-n
postcard-n	mail-n
snake-n	animal-n
goat-n	mammal-n
dean-n	leader-n
documentation-n	information-n
inn-n	building-n
staple-n	commodity-n
ambassador-n	worker-n
icon-n	signal-n
fingertip-n	tip-n
raisin-n	produce-n
dancer-n	entertainer-n
privateer-n	mariner-n
shark-n	fish-n
ale-n	alcohol-n
batsman-n	athlete-n
antiquity-n	era-n
thrill-n	emotion-n
fox-n	vertebrate-n
cipher-n	message-n
alley-n	thoroughfare-n
toast-n	bread-n
tip-n	end-n
snooker-n	game-n
kestrel-n	vertebrate-n
motorway-n	road-n
condominium-n	housing-n
graft-n	tissue-n
mesothelioma-n	tumor-n
tomorrow-n	day-n
carcinoma-n	tumor-n
tern-n	vertebrate-n
salesman-n	employee-n
basketball-n	game-n
waitress-n	waiter-n
oil-n	lipid-n
gasoline-n	fuel-n
campsite-n	site-n
astronomy-n	science-n
value-n	idea-n
typhoon-n	storm-n
dog-n	mammal-n
pharmacy-n	discipline-n
cricket-n	insect-n
pathology-n	science-n
racing-n	sport-n
nematode-n	invertebrate-n
excitement-n	feeling-n
theater-n	building-n
temperament-n	trait-n
handset-n	equipment-n
chemotherapy-n	care-n
orange-n	solid-n
fresco-n	painting-n
moth-n	insect-n
frigate-n	vehicle-n
bridesmaid-n	woman-n
thesaurus-n	publication-n
directorate-n	organization-n
windfall-n	fruit-n
comic-n	entertainer-n
secret-n	information-n
fox-n	mammal-n
physiology-n	biology-n
jewelry-n	decoration-n
stepmother-n	ancestor-n
shellfish-n	solid-n
medication-n	drug-n
poet-n	writer-n
cowboy-n	workman-n
