word1	category	relation	word2
alligator-n	amphibian_reptile	coord	crocodile-n
alligator-n	amphibian_reptile	coord	frog-n
alligator-n	amphibian_reptile	coord	lizard-n
alligator-n	amphibian_reptile	coord	snake-n
alligator-n	amphibian_reptile	coord	toad-n
alligator-n	amphibian_reptile	coord	turtle-n
alligator-n	amphibian_reptile	hyper	animal-n
alligator-n	amphibian_reptile	hyper	beast-n
alligator-n	amphibian_reptile	hyper	carnivore-n
alligator-n	amphibian_reptile	hyper	chordate-n
alligator-n	amphibian_reptile	hyper	creature-n
alligator-n	amphibian_reptile	hyper	predator-n
alligator-n	amphibian_reptile	hyper	reptile-n
alligator-n	amphibian_reptile	hyper	vertebrate-n
alligator-n	amphibian_reptile	mero	eye-n
alligator-n	amphibian_reptile	mero	foot-n
alligator-n	amphibian_reptile	mero	jaw-n
alligator-n	amphibian_reptile	mero	leg-n
alligator-n	amphibian_reptile	mero	mouth-n
alligator-n	amphibian_reptile	mero	scale-n
alligator-n	amphibian_reptile	mero	skin-n
alligator-n	amphibian_reptile	mero	tail-n
alligator-n	amphibian_reptile	mero	tooth-n
alligator-n	amphibian_reptile	random-n	addition-n
alligator-n	amphibian_reptile	random-n	alternative-n
alligator-n	amphibian_reptile	random-n	answer-n
alligator-n	amphibian_reptile	random-n	arrears-n
alligator-n	amphibian_reptile	random-n	clone-n
alligator-n	amphibian_reptile	random-n	contestant-n
alligator-n	amphibian_reptile	random-n	continent-n
alligator-n	amphibian_reptile	random-n	courthouse-n
alligator-n	amphibian_reptile	random-n	dock-n
alligator-n	amphibian_reptile	random-n	handgun-n
alligator-n	amphibian_reptile	random-n	message-n
alligator-n	amphibian_reptile	random-n	methyl-n
alligator-n	amphibian_reptile	random-n	recombination-n
alligator-n	amphibian_reptile	random-n	rectifier-n
alligator-n	amphibian_reptile	random-n	st-n
alligator-n	amphibian_reptile	random-n	teenager-n
alligator-n	amphibian_reptile	random-n	trombone-n
alligator-n	amphibian_reptile	random-n	vitro-n
frog-n	amphibian_reptile	coord	alligator-n
frog-n	amphibian_reptile	coord	bullfrog-n
frog-n	amphibian_reptile	coord	lizard-n
frog-n	amphibian_reptile	coord	snake-n
frog-n	amphibian_reptile	coord	toad-n
frog-n	amphibian_reptile	coord	turtle-n
frog-n	amphibian_reptile	hyper	amphibian-n
frog-n	amphibian_reptile	hyper	animal-n
frog-n	amphibian_reptile	hyper	beast-n
frog-n	amphibian_reptile	hyper	chordate-n
frog-n	amphibian_reptile	hyper	creature-n
frog-n	amphibian_reptile	hyper	vertebrate-n
frog-n	amphibian_reptile	mero	blood-n
frog-n	amphibian_reptile	mero	bone-n
frog-n	amphibian_reptile	mero	eye-n
frog-n	amphibian_reptile	mero	foot-n
frog-n	amphibian_reptile	mero	gill-n
frog-n	amphibian_reptile	mero	head-n
frog-n	amphibian_reptile	mero	leg-n
frog-n	amphibian_reptile	mero	lung-n
frog-n	amphibian_reptile	mero	poison-n
frog-n	amphibian_reptile	mero	skin-n
frog-n	amphibian_reptile	mero	tongue-n
frog-n	amphibian_reptile	mero	wart-n
frog-n	amphibian_reptile	random-n	X-ray-n
frog-n	amphibian_reptile	random-n	adventurer-n
frog-n	amphibian_reptile	random-n	argument-n
frog-n	amphibian_reptile	random-n	bandanna-n
frog-n	amphibian_reptile	random-n	block-n
frog-n	amphibian_reptile	random-n	breast-n
frog-n	amphibian_reptile	random-n	calendar-n
frog-n	amphibian_reptile	random-n	candidacy-n
frog-n	amphibian_reptile	random-n	choice-n
frog-n	amphibian_reptile	random-n	dividend-n
frog-n	amphibian_reptile	random-n	doyen-n
frog-n	amphibian_reptile	random-n	ethnology-n
frog-n	amphibian_reptile	random-n	eurostar-n
frog-n	amphibian_reptile	random-n	force-n
frog-n	amphibian_reptile	random-n	headwaters-n
frog-n	amphibian_reptile	random-n	inspector-n
frog-n	amphibian_reptile	random-n	joint-n
frog-n	amphibian_reptile	random-n	opponent-n
frog-n	amphibian_reptile	random-n	pgce-n
frog-n	amphibian_reptile	random-n	potassium-n
frog-n	amphibian_reptile	random-n	president-n
frog-n	amphibian_reptile	random-n	review-n
frog-n	amphibian_reptile	random-n	secure-n
frog-n	amphibian_reptile	random-n	terminal-n
lizard-n	amphibian_reptile	coord	alligator-n
lizard-n	amphibian_reptile	coord	chameleon-n
lizard-n	amphibian_reptile	coord	frog-n
lizard-n	amphibian_reptile	coord	gecko-n
lizard-n	amphibian_reptile	coord	iguana-n
lizard-n	amphibian_reptile	coord	salamander-n
lizard-n	amphibian_reptile	coord	snake-n
lizard-n	amphibian_reptile	coord	turtle-n
lizard-n	amphibian_reptile	hyper	animal-n
lizard-n	amphibian_reptile	hyper	beast-n
lizard-n	amphibian_reptile	hyper	carnivore-n
lizard-n	amphibian_reptile	hyper	chordate-n
lizard-n	amphibian_reptile	hyper	creature-n
lizard-n	amphibian_reptile	hyper	reptile-n
lizard-n	amphibian_reptile	hyper	vertebrate-n
lizard-n	amphibian_reptile	mero	blood-n
lizard-n	amphibian_reptile	mero	eye-n
lizard-n	amphibian_reptile	mero	head-n
lizard-n	amphibian_reptile	mero	leg-n
lizard-n	amphibian_reptile	mero	mouth-n
lizard-n	amphibian_reptile	mero	scale-n
lizard-n	amphibian_reptile	mero	skin-n
lizard-n	amphibian_reptile	mero	stripe-n
lizard-n	amphibian_reptile	mero	tail-n
lizard-n	amphibian_reptile	mero	tongue-n
lizard-n	amphibian_reptile	random-n	Ptolemy-n
lizard-n	amphibian_reptile	random-n	blacksmith-n
lizard-n	amphibian_reptile	random-n	communion-n
lizard-n	amphibian_reptile	random-n	consolidation-n
lizard-n	amphibian_reptile	random-n	crucible-n
lizard-n	amphibian_reptile	random-n	dash-n
lizard-n	amphibian_reptile	random-n	draftee-n
lizard-n	amphibian_reptile	random-n	education-n
lizard-n	amphibian_reptile	random-n	finding-n
lizard-n	amphibian_reptile	random-n	injury-n
lizard-n	amphibian_reptile	random-n	lens-n
lizard-n	amphibian_reptile	random-n	majesty-n
lizard-n	amphibian_reptile	random-n	mater-n
lizard-n	amphibian_reptile	random-n	n-n
lizard-n	amphibian_reptile	random-n	picking-n
lizard-n	amphibian_reptile	random-n	premises-n
lizard-n	amphibian_reptile	random-n	representation-n
lizard-n	amphibian_reptile	random-n	someone-n
lizard-n	amphibian_reptile	random-n	speaker-n
lizard-n	amphibian_reptile	random-n	supplement-n
lizard-n	amphibian_reptile	random-n	th-n
lizard-n	amphibian_reptile	random-n	thay-n
lizard-n	amphibian_reptile	random-n	treatment-n
snake-n	amphibian_reptile	coord	alligator-n
snake-n	amphibian_reptile	coord	crocodile-n
snake-n	amphibian_reptile	coord	frog-n
snake-n	amphibian_reptile	coord	lizard-n
snake-n	amphibian_reptile	coord	toad-n
snake-n	amphibian_reptile	coord	turtle-n
snake-n	amphibian_reptile	hyper	animal-n
snake-n	amphibian_reptile	hyper	beast-n
snake-n	amphibian_reptile	hyper	chordate-n
snake-n	amphibian_reptile	hyper	creature-n
snake-n	amphibian_reptile	hyper	reptile-n
snake-n	amphibian_reptile	hyper	vertebrate-n
snake-n	amphibian_reptile	mero	bone-n
snake-n	amphibian_reptile	mero	eye-n
snake-n	amphibian_reptile	mero	fang-n
snake-n	amphibian_reptile	mero	head-n
snake-n	amphibian_reptile	mero	mouth-n
snake-n	amphibian_reptile	mero	poison-n
snake-n	amphibian_reptile	mero	scale-n
snake-n	amphibian_reptile	mero	skin-n
snake-n	amphibian_reptile	mero	tail-n
snake-n	amphibian_reptile	mero	tongue-n
snake-n	amphibian_reptile	mero	tooth-n
snake-n	amphibian_reptile	mero	venom-n
snake-n	amphibian_reptile	random-n	attestation-n
snake-n	amphibian_reptile	random-n	believer-n
snake-n	amphibian_reptile	random-n	bumper-n
snake-n	amphibian_reptile	random-n	cabinet-n
snake-n	amphibian_reptile	random-n	cake-n
snake-n	amphibian_reptile	random-n	cloister-n
snake-n	amphibian_reptile	random-n	deprivation-n
snake-n	amphibian_reptile	random-n	equivalence-n
snake-n	amphibian_reptile	random-n	establishment-n
snake-n	amphibian_reptile	random-n	grammar-school-n
snake-n	amphibian_reptile	random-n	loan-n
snake-n	amphibian_reptile	random-n	mixture-n
snake-n	amphibian_reptile	random-n	modifier-n
snake-n	amphibian_reptile	random-n	panto-n
snake-n	amphibian_reptile	random-n	permission-n
snake-n	amphibian_reptile	random-n	plastic-n
snake-n	amphibian_reptile	random-n	protagonist-n
snake-n	amphibian_reptile	random-n	shortlist-n
snake-n	amphibian_reptile	random-n	slaughter-n
snake-n	amphibian_reptile	random-n	treatment-n
turtle-n	amphibian_reptile	coord	alligator-n
turtle-n	amphibian_reptile	coord	frog-n
turtle-n	amphibian_reptile	coord	lizard-n
turtle-n	amphibian_reptile	coord	snake-n
turtle-n	amphibian_reptile	coord	terrapin-n
turtle-n	amphibian_reptile	coord	tortoise-n
turtle-n	amphibian_reptile	hyper	amphibian-n
turtle-n	amphibian_reptile	hyper	animal-n
turtle-n	amphibian_reptile	hyper	beast-n
turtle-n	amphibian_reptile	hyper	chordate-n
turtle-n	amphibian_reptile	hyper	creature-n
turtle-n	amphibian_reptile	hyper	food-n
turtle-n	amphibian_reptile	hyper	pet-n
turtle-n	amphibian_reptile	hyper	reptile-n
turtle-n	amphibian_reptile	hyper	vertebrate-n
turtle-n	amphibian_reptile	mero	eye-n
turtle-n	amphibian_reptile	mero	foot-n
turtle-n	amphibian_reptile	mero	head-n
turtle-n	amphibian_reptile	mero	leg-n
turtle-n	amphibian_reptile	mero	neck-n
turtle-n	amphibian_reptile	mero	scale-n
turtle-n	amphibian_reptile	mero	shell-n
turtle-n	amphibian_reptile	mero	skin-n
turtle-n	amphibian_reptile	mero	tail-n
turtle-n	amphibian_reptile	random-n	aim-n
turtle-n	amphibian_reptile	random-n	apoptosis-n
turtle-n	amphibian_reptile	random-n	bed-n
turtle-n	amphibian_reptile	random-n	cashier-n
turtle-n	amphibian_reptile	random-n	charge-n
turtle-n	amphibian_reptile	random-n	couple-n
turtle-n	amphibian_reptile	random-n	dock-n
turtle-n	amphibian_reptile	random-n	dungaree-n
turtle-n	amphibian_reptile	random-n	game-n
turtle-n	amphibian_reptile	random-n	paradigm-n
turtle-n	amphibian_reptile	random-n	partials-n
turtle-n	amphibian_reptile	random-n	philosophy-n
turtle-n	amphibian_reptile	random-n	projector-n
turtle-n	amphibian_reptile	random-n	renewal-n
turtle-n	amphibian_reptile	random-n	salary-n
turtle-n	amphibian_reptile	random-n	salt-n
turtle-n	amphibian_reptile	random-n	sugar-n
turtle-n	amphibian_reptile	random-n	sycamore-n
turtle-n	amphibian_reptile	random-n	th-n
turtle-n	amphibian_reptile	random-n	toilet-n
dishwasher-n	appliance	coord	freezer-n
dishwasher-n	appliance	coord	fridge-n
dishwasher-n	appliance	coord	oven-n
dishwasher-n	appliance	coord	phone-n
dishwasher-n	appliance	coord	radio-n
dishwasher-n	appliance	coord	refrigerator-n
dishwasher-n	appliance	coord	stereo-n
dishwasher-n	appliance	coord	stove-n
dishwasher-n	appliance	coord	telephone-n
dishwasher-n	appliance	coord	television-n
dishwasher-n	appliance	coord	toaster-n
dishwasher-n	appliance	coord	washer-n
dishwasher-n	appliance	hyper	appliance-n
dishwasher-n	appliance	hyper	artefact-n
dishwasher-n	appliance	hyper	artifact-n
dishwasher-n	appliance	hyper	commodity-n
dishwasher-n	appliance	hyper	device-n
dishwasher-n	appliance	hyper	good-n
dishwasher-n	appliance	hyper	object-n
dishwasher-n	appliance	mero	button-n
dishwasher-n	appliance	mero	control-n
dishwasher-n	appliance	mero	cup-n
dishwasher-n	appliance	mero	cutlery-n
dishwasher-n	appliance	mero	detergent-n
dishwasher-n	appliance	mero	dial-n
dishwasher-n	appliance	mero	dish-n
dishwasher-n	appliance	mero	door-n
dishwasher-n	appliance	mero	engine-n
dishwasher-n	appliance	mero	front-n
dishwasher-n	appliance	mero	glass-n
dishwasher-n	appliance	mero	inside-n
dishwasher-n	appliance	mero	metal-n
dishwasher-n	appliance	mero	motor-n
dishwasher-n	appliance	mero	mug-n
dishwasher-n	appliance	mero	pan-n
dishwasher-n	appliance	mero	plate-n
dishwasher-n	appliance	mero	plug-n
dishwasher-n	appliance	mero	rack-n
dishwasher-n	appliance	mero	silverware-n
dishwasher-n	appliance	mero	soap-n
dishwasher-n	appliance	mero	steel-n
dishwasher-n	appliance	mero	supply-n
dishwasher-n	appliance	mero	tableware-n
dishwasher-n	appliance	mero	top-n
dishwasher-n	appliance	mero	water-n
dishwasher-n	appliance	random-n	Cavalier-n
dishwasher-n	appliance	random-n	Negro-n
dishwasher-n	appliance	random-n	advice-n
dishwasher-n	appliance	random-n	afterlife-n
dishwasher-n	appliance	random-n	appropriateness-n
dishwasher-n	appliance	random-n	availability-n
dishwasher-n	appliance	random-n	celebration-n
dishwasher-n	appliance	random-n	centre-n
dishwasher-n	appliance	random-n	cluster-n
dishwasher-n	appliance	random-n	concern-n
dishwasher-n	appliance	random-n	continuation-n
dishwasher-n	appliance	random-n	dentist-n
dishwasher-n	appliance	random-n	discrimination-n
dishwasher-n	appliance	random-n	donation-n
dishwasher-n	appliance	random-n	enthusiasm-n
dishwasher-n	appliance	random-n	examination-n
dishwasher-n	appliance	random-n	famine-n
dishwasher-n	appliance	random-n	fraternity-n
dishwasher-n	appliance	random-n	graduating-n
dishwasher-n	appliance	random-n	graveyard-n
dishwasher-n	appliance	random-n	horse-n
dishwasher-n	appliance	random-n	identity-n
dishwasher-n	appliance	random-n	intimacy-n
dishwasher-n	appliance	random-n	island-n
dishwasher-n	appliance	random-n	lantern-n
dishwasher-n	appliance	random-n	masonry-n
dishwasher-n	appliance	random-n	motorway-n
dishwasher-n	appliance	random-n	opportunity-n
dishwasher-n	appliance	random-n	oscillator-n
dishwasher-n	appliance	random-n	pharmacy-n
dishwasher-n	appliance	random-n	pill-n
